Date,AAPL,MSFT,NVDA,GOOGL,JPM,BAC,GS,UNH,JNJ,LLY,XOM,CVX,SPY,BND
2024-07-31,219.9830322265625,411.1031188964844,116.69686126708984,170.11807250976562,204.219482421875,38.31144332885742,486.3515625,550.7327880859375,148.41078186035156,792.0569458007812,110.33971405029297,146.0533447265625,538.0719604492188,67.59519958496094
2024-08-01,216.2981719970703,409.8846435546875,108.90843200683594,169.3445587158203,199.57464599609375,37.541603088378906,477.8384704589844,547.4923706054688,151.14675903320312,819.799072265625,108.8138198852539,138.90858459472656,530.452392578125,67.84789276123047
2024-08-02,217.78399658203125,401.4139099121094,106.9737777709961,165.27854919433594,191.11029052734375,35.716796875,449.67193603515625,563.799560546875,154.3246307373047,792.2440795898438,108.74869537353516,135.20423889160156,520.5762329101562,68.62256622314453
2024-08-05,207.2939910888672,388.30499267578125,100.17261505126953,157.9299774169922,187.041259765625,34.83290100097656,438.56964111328125,544.806396484375,151.6074676513672,763.4873657226562,106.78549194335938,131.6636962890625,505.4151306152344,68.55799865722656
2024-08-06,205.27325439453125,392.6877746582031,103.9621353149414,156.9779052734375,192.26190185546875,35.08951950073242,449.2706604003906,543.2675170898438,149.4637908935547,781.1351928710938,106.21792602539062,130.3621826171875,510.0748291015625,68.13377380371094
2024-08-07,207.83883666992188,391.5281982421875,98.63688659667969,157.62252807617188,192.31947326660156,35.4506721496582,451.9363708496094,541.0977172851562,149.3979949951172,760.414794921875,107.6321792602539,129.6158447265625,506.6654357910156,67.96776580810547
2024-08-08,211.29583740234375,395.71441650390625,104.68013763427734,160.68692016601562,195.83189392089844,36.315555572509766,464.1278381347656,541.2505493164062,150.6390838623047,832.4736938476562,109.68843078613281,131.50900268554688,518.3781127929688,67.86632537841797
2024-08-09,214.19821166992188,398.9866943359375,104.46073913574219,162.3133544921875,197.50173950195312,36.38208770751953,468.4178771972656,534.1006469726562,151.01513671875,878.1395874023438,110.58164978027344,131.9640655517578,520.6640014648438,68.10610961914062
2024-08-12,215.72540283203125,399.76300048828125,108.7189712524414,160.9447784423828,197.87603759765625,36.27754211425781,463.869873046875,540.342529296875,150.31939697265625,870.9503784179688,110.72120666503906,131.99136352539062,520.9376831054688,68.22600555419922
2024-08-13,219.43438720703125,406.8382873535156,115.81929016113281,162.7992706298828,199.55548095703125,36.55316162109375,470.0229797363281,548.8975219726562,148.91847229003906,894.2609252929688,109.6605224609375,131.1995391845703,529.5047607421875,68.48422241210938
2024-08-14,219.88067626953125,409.638916015625,117.75395965576172,159.0406494140625,201.7626953125,36.88581466674805,476.4818115234375,554.0878295898438,149.0030975341797,917.5321044921875,110.6746826171875,131.67282104492188,531.1752319335938,68.61333465576172
2024-08-15,222.85577392578125,414.4823913574219,122.52074432373047,159.96295166015625,203.01991271972656,37.09489822387695,476.78753662109375,554.030517578125,149.57662963867188,918.7155151367188,111.35935974121094,133.61146545410156,540.2798461914062,68.32744598388672
2024-08-16,224.1747283935547,411.9622802734375,124.2359848022461,161.60922241210938,205.34230041503906,37.389530181884766,481.7940979003906,552.1857299804688,149.8586883544922,909.3861694335938,110.83413696289062,134.0392303466797,541.4910888671875,68.47500610351562
2024-08-19,224.01605224609375,414.974609375,129.64100646972656,165.28846740722656,206.7626190185547,37.70317459106445,482.19537353515625,553.2373046875,150.08436584472656,909.0804443359375,111.17179107666016,135.1344451904297,546.6683959960938,68.55799865722656
